Name	Set	ImageFile	Type	traits	victorypoints	cost	expense	text	flavor	illustrator
"Liam ""A.I."" Simons"	submerchant	04018.png	Crew	"Imperial, Gearhead, Spiritualist"	NULL	3	1	<strong>Action Phase</strong> \n [Action][Limited] - Jettison [Gear] or [Upgrade]: Return target [Gear] or [Upgrade] card from your discard pile to hand.	Gueseppe asked what A.I. stood for. I told him...all in.	Nick Avallone
Mahmoud Czenik	submerchant	04019.png	Crew	"Solomani, Unsavory"	NULL	3	1	[Heroic] cost Mahmoud an additional [1].	Waste no part of the prey.	Aleksandar Mihajlovic
Teodoro Weinstein	submerchant	04020.png	Crew	"Imperial, Spacehand"	NULL	1	1	<strong>Action Phase</strong> \n [Action]-[Exert]: Gain [Trained:Social] until end of round.	This guy...in spaaaace!	Tan Ho Sim
"Walter Glen, IMC (ret)"	submerchant	04021.png	Crew	"Imperial, Veteran"	NULL	3	1	"While Walter is ready, he is <strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to opponent's wounding effects</u></strong>. \n <strong>Action Phase</strong> \n [Action]-[Exert],[1]: Target Captain chooses one of their [Crew]. Inflict 2 [Wound] on chosen [Crew]."	NULL	Nagy Norbert
Anonymous Insertion	submerchant	04022.png	Event	"Transport, Unsavory"	NULL	1	2	<strong>Resolution Phase</strong> \n Remove from play target Transport [Complication].	NULL	Tan Ho Sim
Catastrophic Overbooking	submerchant	04023.png	Event	"Extravagant, Mercantile"	NULL	1	1	"<strong>Resolution Phase</strong> \n Until end of round, after a Captain resolves a [Complication] or a [Contract] that requires [Cargo] or [Passenger], that Captain chooses an opponent and gives that opponent 1 [VictoryPoint]."	"A sound policy economically and mathematically, occasionally overbooking is a catastrophe."	Nikita Nanako
On the Lam	submerchant	04024.png	Event	Government	NULL	0	1	<strong>Adventure Phase</strong> \n Target an <strong><em>Unsavory</em></strong> [Crew]. The target's controller must either jettison the [Crew] or gain an [Infamy] token.	Hiring outlaws has hidden costs.	Paolo Puggioni
Overextended	submerchant	04025.png	Event	Priority	NULL	2	1	Target a [Contract] with a number of [Complication] equal to the [LinkOpen] [Contract][Complication] [LinkClosed] slots. Remove one attached [Complication] from the target.	"Never enough, until it's too much."	Rodolfo Hernandez
Twists and Turns	submerchant	04026.png	Event	Exploration	NULL	1	1	"<strong>Action Phase</strong> \n Remove from play a [Complication] attached to target [Contract]. Add the top card of your Adventure Deck without looking at it, as a [Complication] to the target."	NULL	Paolo Puggioni
EnviroSafe Vacc Suit	submerchant	04027.png	Gear	"Spacehand, Treatment"	NULL	2	1	"Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong> and <strong><u><a href=""../rulesreference#KW_Invulnerable"">Invulnerable</a> to <a href=""../rulesreference#KW_Hindrance"">Hindrances.</a></u></strong>"	NULL	Nicholas Lim
TL-13 CLC Laser Rifle	submerchant	04028.png	Gear	"Laser, Mil-Grade"	NULL	3	1	"<strong><u><a href=""../rulesreference#KW_Armor_Penetration"">Armor Piercing 2</a></u></strong> \n <strong>Action Phase</strong> \n [Use],[1]: Inflict 2 [Wound] on target [Crew]."	NULL	Paolo Puggioni
Bodyguarding	submerchant	04029.png	Heroic Action	Professional	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Combat] [Action]-[Exert]: Your other [Crew] have <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 2</a></u></strong> against wounding effects until end of round. \n [Expert:Combat] [Action]-[Exert]: Attach this card to target [Crew], which cannot be this acting [Crew]. Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 2</a></u></strong>."	NULL	Paolo Puggioni
Police Raid	submerchant	04030.png	Heroic Action	"Government, Legal"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Admin] [Action]-[Exert]: Inflict 1 [Wound] on target [Crew], [Exert] it, then attach this card to the target as a <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong>. Attached [Crew] gains <strong><em>Unsavory</em></strong>. \n [Expert:Admin] [Action]-[Exert]: As above, then inflict 1 [Wound] on any number of target <strong><em>Unsavory</em></strong> [Crew]."	NULL	Dmitry Derzhavin
Sabotage	submerchant	04031.png	Heroic Action	Unsavory	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Tech] [Action]-[Exert]: Target a [Ship] and [Exert] all of its [Upgrade]. \n [Expert:Tech] [Action]-[Exert]: As above, and jettison target [Upgrade] attached to that [Ship]."	Did I do that?	LEG
Snickers and Slanders	submerchant	04032.png	Heroic Action	Unsavory	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Social] [Action]-[Exert]: Target any number of Captains. Look at those Captains' hands, then choose and discard 1 card from each hand. \n [Expert:Social] [Action]-[Exert]: as above, and any Captain who discards a [Crew] loses 1 [VictoryPoint]."	NULL	Paolo Puggioni
Crew Compartment	submerchant	04033.png	Ship Upgrade	Transport	NULL	1	1	[Crew] slots +1.	How big a room?	Nicholas Lim
Defensive Mines	submerchant	04034.png	Ship Upgrade	Warfare	NULL	1	1	"While you are defending, [Attack] +2."	NULL	Nicholas Lim
Drop Fuel Tanks	submerchant	04035.png	Ship Upgrade	"Exploration, Space, Transport"	NULL	0	2	<strong>Adventure Phase</strong> \n Jettison: Reduce the [Distance] on target [Contract] to 0 until end of phase.	Drain 'em and drop 'em	Michael Rookard
Efficiency Diagnostic	submerchant	04036.png	Ship Upgrade	"Mercantile, Professional"	NULL	2	1	"<strong>Resolution Phase</strong> \n [Exert],2 Capability tokens: Gain 1 [VictoryPoint]. Only usable after resolving a [Contract]."	We can do better.	Raul A. Santos
Improvised Defenses	submerchant	04037.png	Ship Upgrade	"Gearhead, Sandcaster"	NULL	1	2	<strong>Resource Phase</strong> \n [Limited] - Any Capability token: [Defense] +2 until end of round.	Sandcasters deployed to a repurposed cargo bay.	Dave Jones
Infirmary	submerchant	04038.png	Ship Upgrade	"Professional, Treatment"	NULL	1	2	"<strong>Ready Phase</strong> \n Restore 2 [Wound] distributed between 1 or more of your [Crew]. If you control a [LinkOpen] [Crew][Medical] [LinkClosed], you may restore 1 additional [Wound] or remove a <strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> attached to one of your [Crew]."	NULL	Nicholas Lim
Q-Ship Conversion	submerchant	04039.png	Ship Upgrade	"Energy, Warfare"	NULL	3	1	"Subsidized Merchant only. Requires 3 [Internal] slots. \n [Exert],[2]: [Attack] +4 until end of round. \n <strong>Resolution Phase.</strong> \n [Reaction] - Procure this card from hand, paying cost as normal."	Say hello to my fusion friend!	Ian Stead
Streamlining Treatment	submerchant	04040.png	Ship Upgrade	"Resourceful, Space"	NULL	0	3	"[Initiative] +1. \n [Reaction]-[Exert], Jettison: [Defense] +1 until end of round."	NULL	Ian Stead
Black Market Investors	troublemains	06001.png	Connection	"Corporate, Unsavory"	NULL	2	1	"For each [Infamy] token you possess, reduce the number of [VictoryPoint] you require for victory by 1."	"Crime doesn't pay, but it can fuel profitable mutual funds."	Nick Egberts
Rhal'Kais Chop Shop	troublemains	06002.png	Connection	"Rhal'kais, Salvage, Unsavory"	NULL	2	0	"<strong>Resolution Phase</strong> \n [Exert]: After successfully resolving a Piracy action, gain 2 [VictoryPoint]. Gain an additional [VictoryPoint] if 2 or more [Upgrade] were destroyed."	NULL	Maik Belersdorf
Gvaerrggoursu	troublemains	06003.png	Crew	"Scoundrel, Unsavory"	NULL	3	1	"After you successfully resolve a Piracy action, inflict up to 2 [Wound] divided between one or more target [Crew]."	"The harder the chase, the sweeter the kill!"	LEG
Imlaii Ergarsuu	troublemains	06004.png	Crew	"Vilani, Spiritualist"	NULL	2	1	"Whenever an opponent gains one or more [Infamy] tokens, you may <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish 1</a></u></strong>."	The stars can be cruel.	Theresa Koenigseder-Haller
Irina Tynkova	troublemains	06005.png	Crew	"Imperial, Gearhead, Mercenary"	NULL	2	1	<strong>Action Phase</strong> \n [Action]-[Exert]: Search your deck for an [Event] or [Heroic] with <strong><em>Maintenance</em></strong> or <strong><em>Salvage</em></strong> and move that card to your hand.	Err...I meant to do that.	Vadim Marchenkov
Crackdown	troublemains	06006.png	Event	Government	NULL	0	2	All Captains must pay [3] for each [Infamy] token they possess.	Increased Law Enforcement activity complicates shadowy endeavors.	LEG
Homesick	troublemains	06007.png	Event	"Altruistic, Priority"	NULL	0	2	<strong>Action Phase</strong> \n Target committed Captain must travel the [Distance] for the [Contract] the Captain is pursuing or abandon the [Contract].	I want to go home.	LEG
Laying Low	troublemains	06008.png	Event	Veteran	NULL	1	1	"Lose 1 [Infamy] token. For [1], you may instead target another Captain to lose 1 [Infamy] token."	Boriiiiiiing.	Maik Belersdorf
Targeted Removal	troublemains	06009.png	Event	"Mercenary, Veteran"	NULL	0	1	"Look at target Captain's hand and choose a card. The chosen card is discarded. Then, the targeted Captain draws a card."	For want of a nail...	LEG
Trouble on the Mains	troublemains	06010.png	Event	"Space, Unsavory"	NULL	0	1	<strong>Adventure Phase</strong> \n Any attacker who inflicts at least 3 damage during a Piracy action this round gain 2 [VictoryPoint]. \n Any Attacker who inflicts less than 3 damage during a Piracy action this round loses 1 [VictoryPoint].	NULL	Matt Haley
Alien Pathogen	troublemains	06011.png	Gear	"Exotic, Exploration, Treatment"	NULL	2	1	"<strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> \n When attached, choose one of the attached [Crew] Skills. That skill is reduced 1 level. \n <strong>Action Phase</strong> \n Any [Crew] with [Medical] or [Psionic] may [Exert] as an [Action] to jettison this card."	NULL	Nick Egberts
PRO-TECH Flak Jacket	troublemains	06012.png	Gear	"Mil-Grade, Veteran"	NULL	1	1	"<strong><u><a href=""../rulesreference#KW_Reflec"">Reflec</a></u></strong> \n <strong>Action Phase</strong> \n [Reaction]-[Exert]: Attached [Crew] gains <strong><u><a href=""../rulesreference#KW_Armor"">Armor 1</a></u></strong> until the end of the current [Action]."	"Discreet, Effective, PRO-TECH."	David Fernandez
Realms of Rampage	troublemains	06013.png	Gear	"Extravagant, Priority"	NULL	1	1	"<strong><u><a href=""../rulesreference#KW_Hindrance"">Hindrance</a></u></strong> \n When attached, [Exert] attached [Crew]. \n <strong>Ready Phase</strong> \n At the end of the phase, [Exert] attached [Crew] unless its Controller pays [1]."	Warlocks are OP.	Annika Maar
Tear Gas Canister	troublemains	06014.png	Gear	"Chemical, Mil-Grade"	NULL	2	1	"<strong>Action Phase</strong> \n [Use], Jettison: [Exert] up to two target [Crew]."	Here's something to cry about.	Jazz Sly
Aggravated Assault	troublemains	06015.png	Heroic Action	Warfare	NULL	0	2	<strong>Action Phase</strong> \n [Trained:Combat] [Action]-[Exert]: Inflict 2 [Wound] on target [Crew]. \n [Expert:Combat] [Action]-[Exert]: Inflicts 3 [Wound] on target [Crew].	Fearsome fusillade of fire.	Sarut Sathipiyarat
Prey on the Weak	troublemains	06016.png	Heroic Action	Warfare	NULL	0	2	<strong>Action Phase</strong> \n [Trained:StarshipOperation] [Action]-[Exert]: [Defense] -1 to target [Ship] until end of round. \n [Expert:StarshipOperation] [Action]-[Exert]: Target a Captain who is pursuing the same [Contract] as you. Immediately conduct a Piracy action against the target.	NULL	Ian Stead
Registry Access Crash	troublemains	06017.png	Heroic Action	"Government, Legal"	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Admin] [Action]-[Exert]: Jettison target [Upgrade] unless its controller pays its cost. \n [Expert:Admin] [Action]-[Exert]: For each [Upgrade] target Captain controls, that Captain must pay its cost or jettison it."	NULL	Theresa Koenigseder-Haller
Sinister Reputation	troublemains	06018.png	Heroic Action	"Celebrity, Unsavory"	NULL	0	2	<strong>Action Phase</strong> \n [Trained:Social] [Action]-[Exert]: Target Captain gains or loses 1 [Infamy] token. \n [Expert:Social] [Action]-[Exert]: Gain or lose 1 [Infamy] token. Then gain 3 [VictoryPoint] if you possess 3 or more [Infamy] tokens.	Nobody surrenders to the Dread Pirate Wesley.	Nikita Nanako
Dreaded Visage	troublemains	06019.png	Ship Upgrade	"Corsair, Extravagant, Unsavory"	NULL	0	3	"For each [Infamy] token you possess, [Initiative] +1. \n Jettison: Remove target Corsair [Complication]. Only usable if you have two or more [Infamy] tokens."	NULL	LEG
Hacker's Chainsaw	troublemains	06020.png	Ship Upgrade	"Salvage, Unsavory"	NULL	1	1	"<strong>Resolution Phase</strong> \n [Exert]: After successfully resolving Piracy, gain 1 [VictoryPoint] plus 1 [VictoryPoint] for each [LinkOpen] [Upgrade][Computer] [LinkClosed] attached to the defending ship."	NULL	Matt Haley
Type S Scout	typesscout	02001.png	Ship Type	"Imperial, Exploration"	NULL	NULL	NULL	[Reaction]-[Exert]: Reduce the cost to play an [Event] by [3].	NULL	Jin Kim
Dwarf Planet Survey	typesscout	02002.png	Adventure Card	"Exploration, Professional, Sensors"	3	NULL	NULL	NULL	Mapping a newly discovered dwarf planet.	Leonardo Calamati
Gravimetric Probe Retrieval	typesscout	02003.png	Adventure Card	"Sensors, Space"	3	NULL	NULL	NULL	"Locating a lost probe is difficult, and occasionally dangerous."	Leonardo Calamati
Red Zone Prospecting	typesscout	02004.png	Adventure Card	"Exploration, Mercantile, Unsavory"	2	NULL	NULL	NULL	Access to Red Zone worlds is strictly prohibited.	Leonardo Calamati
Stellar Luminosity Study	typesscout	02005.png	Adventure Card	Milk Run	2	NULL	NULL	NULL	Luminosity data is critical to tracking the lifecycle of stars	Leonardo Calamati
Universal World Profile Update	typesscout	02006.png	Adventure Card	"Corporate, Government, TAS"	3	NULL	NULL	NULL	The UWP registry requires constant revision to keep current.	Leonardo Calamati
X-Boat Route Review	typesscout	02007.png	Adventure Card	"Imperial, Priority, Space"	4	NULL	NULL	NULL	The Scout Service tests an X-Boat route expansion.	Leonardo Calamati
Frontier Shipping Co.	typesscout	02008.png	Connection	"Corporate, Freight"	NULL	0	1	"<strong>Resource Phase</strong> \n  [Exert],[VictoryPoint]: Add a [Cargo] token to your Resource Pool. Any other Captain may give you a [VictoryPoint] to add a [Cargo] token to their Resource Pool."	"You hate our jingles, but you love our service."	Tan Ho Sim
Rhal'Kais Syndicate	typesscout	02009.png	Connection	"Rhal'Kais, Unsavory"	NULL	2	1	"<strong>Resolution Phase</strong> \n  [Exert]: Add a [Trained:Combat], [Trained:Tech], or [Trained:Underworld] token to this card. Tokens on this card may only resolve [Complication]. Remove all tokens from this card at end of round."	A brutal criminal cartel focused on tech smuggling and cybernetic alteration.	Michael Matsumoto
Starship Graveyard	typesscout	02010.png	Connection	"Gearhead, Mercantile, Salvage"	NULL	0	1	"<strong>Procurement Phase</strong>  \n [Exert],[2]: Move an [Upgrade] from your discard pile to your hand."	Not every ship sails into the sunset.	Tan Ho Sim
Tibor	typesscout	02011.png	Connection	"Altruistic, Amiable"	NULL	0	2	"<strong>Ready Phase</strong>  \n [Exert],[3]: Remove from play target [Contract] that no opponent is pursuing. If you were pursuing the [Contract], become uncommitted without paying the [AbandPenalty]."	That idiot Tibor lost the key.	Tan Ho Sim
"Yuryehke, Aslan Trader"	typesscout	02012.png	Connection	"Aslan (Female), Mercantile"	NULL	2	1	"<strong>Resource Phase</strong>  \n [Exert],[2]: Add any Basic Capability token to this card. You may only spend Capability tokens from this card to resolve a [Contract]. Remove all tokens from this card at end of round."	NULL	Nichole Balsley
"Aminah Darzi, M.D."	typesscout	02013.png	Crew	"Imperial, Mercenary, Unsavory"	NULL	2	1	"<strong>Action Phase</strong> \n [Action]-[Exert],[1]: Gain [Trained:Science] until end of round. \n [Action]-[Exert]: Discard a [Crew] from hand to restore all [Wound] to target [Crew]."	NULL	Jin Kim
Flint	typesscout	02014.png	Crew	"Imperial, Unsavory, Veteran"	NULL	2	1	"While Flint is exerted, your other [Crew] gain <strong><u><a href=""../rulesreference#KW_Concealed"">Concealed 1</a></u></strong>.  \n <strong>Action Phase</strong> \n [Action]-[Exert],[2]: Inflict 1 [Wound] on target [Crew]. If the target lacks [Underworld], inflict an additional [Wound]."	NULL	David Ogitvie
Professor Leander Standish	typesscout	02015.png	Crew	"Imperial, Celebrity, Extravagant"	NULL	2	1	<strong>Action Phase</strong> \n [Action]-[Exert]: Gain [Trained:Social] until end of round. \n [Action]-[Exert]: Suppress [Science] skill on target [Crew] until end of round.	Do the physics.	LEG
Vorn Drusus	typesscout	02016.png	Crew	"Imperial, Mercenary"	NULL	2	1	"<strong>Action Phase</strong> \n [Action]-[Exert]: Gain [Expert:Combat] until end of round. \n [Action]- [Exert],[2]: Inflict 2 [Wound] on target [Crew]."	NULL	Annika Maar
3PL	typesscout	02017.png	Event	"Freight, Mercantile"	NULL	2	1	Remove from play target [LinkOpen] [Complication][Cargo] [LinkClosed]	Logistics	Tan Ho Sim
Calling in a Marker	typesscout	02018.png	Event	Resourceful	NULL	4	1	Remove from play target [Complication] and disperse this card.	Now we're even. Well almost even.	David Fernandez
Dramatic Renegotiation	typesscout	02019.png	Event	"Mercenary, Unsavory"	NULL	0	2	"[Reaction]- After completing a [Contract], gain 2 [VictoryPoint] if you have an [Infamy] token."	Regarding my compensation.	David Ogitvie
Freelancer	typesscout	02020.png	Event	Mercenary	NULL	0	1	"<strong>Action Phase</strong> \n Put target [Crew] in your discard pile into play. Do not pay its cost. This [Crew] has <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong>. \n If the [Crew] is in play at the end of the round, disperse it."	NULL	LEG
Glitch	typesscout	02021.png	Event	"Maintenance, Resourceful"	NULL	0	3	[Ready] or [Exert] target [Upgrade].	Overstressed systems can be temperamental.	Tan Ho Sim
Just a Little Longer...	typesscout	02022.png	Event	"Maintenance, Resourceful"	NULL	0	1	"<strong>Action Phase</strong> \n Attach target [Upgrade] from your discard pile to your [Ship]. Do not pay its cost. This [Upgrade] has <strong><u><a href=""../rulesreference#KW_Trifling"">Trifling</a></u></strong>. \n If the [Upgrade] is in play at the end of the round, disperse it."	NULL	Maik Belersdorf
Predatory Tactics	typesscout	02023.png	Event	"Space, Warfare"	NULL	0	1	"Target [Ship] gains [Attack] +1 and [Defense] +1 until end of round. \n If the target of this card is your [Ship] and you inflict 1 or more damage this round as the attacker, <strong><u><a href=""../rulesreference#KW_Replenish"">Replenish</a></u></strong> this card."	NULL	Temarius Walker
Cognition Wafer	typesscout	02024.png	Gear	Cybernetics	NULL	0	1	"<strong><u><a href=""../rulesreference#KW_Integral"">Integral</a></u></strong> \n When Cognition Wafer attaches, choose a Trained Skill of attached [Crew] and increase the Skill to Expert while this card is attached."	I know Kung Fu.	Tan Ho Sim
Densitometer	typesscout	02025.png	Gear	Sensors	NULL	0	1	<strong>Action Phase</strong> \n Requires [Science] \n [Use]: Look at an unrevealed [Complication] attached to a [Contract] that requires [Passenger] or [Science] or has a [Subplot] that requires [Passenger] or [Science].	NULL	Annika Maar
Contingency	typesscout	02026.png	Heroic Action	Resourceful	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Underworld] [Action]-[Exert]: Search your deck for an [Event] and attach it to this [Crew]. Return attached [Crew] to your hand to play the [Event] for [0] cost. \n [Expert:Underworld] [Action]-[Exert]: As above, but you may search your discard pile instead."	NULL	Andreas Rocha
Inspired Oration	typesscout	02027.png	Heroic Action	Amiable	NULL	0	2	"<strong>Action Phase</strong> \n No [Crew] may play more than one Inspired Oration each round. \n [Trained:Social] [Action]-[Exert]: [Ready] the acting [Crew] and target [Crew]. \n [Expert:Social] [Action] - [Exert]: As above, then [Exert] a target [Crew]."	...gentlemen in England now a-bed...	Nick Egberts
Polymath	typesscout	02028.png	Heroic Action	Resourceful	NULL	0	2	"<strong>Action Phase</strong> \n [Trained:Science] [Action]-[Exert]: Gain one level of [Medical] or [Tech] until end of round, then [Ready] this [Crew]. \n [Expert:Science] [Action] - [Exert]; Attach to the acting [Crew]. While attached, this [Crew] gains one level of [Medical] or [Tech]."	NULL	Nick Egberts
False Registry Markings	typesscout	02029.png	Ship Upgrade	"Corsair, Unsavory"	NULL	0	2	<strong>Procurement Phase</strong> \n [Exert]; Ignore cost increases from [Infamy] tokens for the next card you procure.	Definitely not pirates.	Ian Stead
RVD Overtuned Thruster Plate	typesscout	02030.png	Ship Upgrade	"Maneuver Drive, Mil-Grade"	NULL	2	2	[Initiative] +1 \n [Attack] +1 against [Ship] with lower [Initiative].	Slow is dead.	Nicholas Lim
Stellar Anomaly Log	typesscout	02031.png	Ship Upgrade	Sensors	NULL	2	1	"Jettison: When you resolve a [LinkOpen] [Contract][Survey] [LinkClosed], gain 1 [VictoryPoint]."	NULL	Nicholas Lim
SureShot Missile Turret	typesscout	02032.png	Ship Upgrade	Missile	NULL	0	2	"[Reaction]-[Exert],[1]: [Attack] +1 until end of round. \n Jettison: Resolve target <strong><em>Corsair</strong></em> [Complication]."	NULL	Nicholas Lim
Cargo	token	cargo.png	Token							
Cargo / Military	token	cargomilitary.png	Token							
Cargo / Passenger	token	cargopassenger.png	Token							
Cargo / Survey	token	cargosurvey.png	Token							
Military	token	military.png	Token							
Military / Survey	token	militarysurvey.png	Token							
Passenger	token	passenger.png	Token							
Passenger / Military	token	passengermilitary.png	Token							
Passenger / Survey	token	passengersurvey.png	Token							
Survey	token	survey.png	Token							
Trained: Admin	token	admin-.png	Token							
Expert: Admin	token	admin+.png	Token							
Trained: Combat	token	combat-.png	Token							
Expert: Combat	token	combat+.png	Token							
Trained: Medical	token	medical-.png	Token							
Expert: Medical	token	medical+.png	Token							
Trained: Psionics	token	psionics-.png	Token							
Expert: Psionics	token	psionics+.png	Token							
Trained: Science	token	science-.png	Token							
Expert: Science	token	science+.png	Token							
Trained: Social	token	social-.png	Token							
Expert: Social	token	social+.png	Token							
Trained: Starship Operations	token	starops-.png	Token							
Expert: Starship Operations	token	starops+.png	Token							
Trained: Tech	token	tech-.png	Token							
Expert: tech	token	tech+.png	Token							
Trained: Underworld	token	underworld-.png	Token							
Expert: Underworld	token	underworld+.png	Token							
